TPCNote  85680  85925  63  -1
TPCNote  85925  86135  68  -2
TPCNote  86135  86345  67   3
TPCNote  86135  86170  45   5
TPCNote  86380  86590  65   1
TPCNote  86590  86800  67   3
TPCNote  86835  87045  63  -1
TPCNote  87045  87255  60   2
TPCNote  87255  87500  65   1
TPCNote  87360  90965  46   0
TPCNote  87500  87710  65   1
TPCNote  87710  87955  63  -1
TPCNote  87955  88165  63  -1
TPCNote  88165  88410  62   4
TPCNote  88410  88620  62   4
TPCNote  88620  88865  67   3
TPCNote  88865  89075  67   3
TPCNote  89075  89320  65   1
TPCNote  89320  89530  65   1
TPCNote  89320  89985  62   4
TPCNote  89530  89775  63  -1
TPCNote  89775  90685  63  -1
TPCNote  89985  90230  62   4
TPCNote  90230  90440  60   2
TPCNote  90440  90685  59   7
TPCNote  90685  90895  60   2
TPCNote  90685  91350  75  -1
TPCNote  90895  91140  55   3
TPCNote  90965  93380  45   5
TPCNote  91350  91595  77   1
TPCNote  91595  91805  75  -1
TPCNote  91805  92050  74   4
TPCNote  92050  92260  75  -1
TPCNote  92050  92960  65   1
TPCNote  92260  92505  72   2
TPCNote  92505  94325  74   4
TPCNote  92960  93415  65   1
TPCNote  93380  93975  46   0
TPCNote  93380  93870  70   0
TPCNote  93870  94325  67   3
TPCNote  93975  94570  57   5
TPCNote  94325  94535  72   2
TPCNote  94325  94780  64   6
TPCNote  94535  94780  70   0
TPCNote  94535  95165  55   3
TPCNote  94780  95235  69   5
TPCNote  94780  95690  72   2
TPCNote  95165  95760  53   1
TPCNote  95235  96145  62   4
TPCNote  95690  95900  70   0
TPCNote  95760  96355  55   3
TPCNote  95900  96145  69   5
TPCNote  96145  96600  67   3
TPCNote  96145  97055  70   0
TPCNote  96390  96985  52   6
TPCNote  96600  97055  63  -1
TPCNote  96985  97580  48   2
TPCNote  97055  97265  68  -2
TPCNote  97055  97510  60   2
TPCNote  97265  97510  67   3
TPCNote  97510  97965  65   1
TPCNote  97510  98420  68  -2
TPCNote  97580  98175  55   3
TPCNote  97965  98875  58   0
TPCNote  98175  98770  53   1
TPCNote  98420  98630  67   3
TPCNote  98630  98875  65   1
TPCNote  98770  99365  52   6
TPCNote  98875  99330  63  -1
TPCNote  98875  99785  67   3
TPCNote  99330  99785  60   2
TPCNote  99330  99960  53   1
TPCNote  99785  99995  65   1
TPCNote  99785 100240  57   5
TPCNote  99960 100555  50   4
TPCNote  99960 100240  63  -1
TPCNote 100240 100695  62   4
TPCNote 100240 101150  65   1
TPCNote 100590 101780  47   7
TPCNote 100695 101605  55   3
TPCNote 101150 101360  63  -1
TPCNote 101360 101605  62   4
TPCNote 101605 102060  60   2
TPCNote 101605 102270  63  -1
TPCNote 101780 102970  47   7
TPCNote 102270 102515  65   1
TPCNote 102515 102725  63  -1
TPCNote 102725 102970  62   4
TPCNote 102970 104160  47   7
TPCNote 102970 103180  63  -1
TPCNote 103180 103425  60   2
TPCNote 103425 103845  62   4
TPCNote 103880 104755  64   6
TPCNote 104160 105385  46   0
TPCNote 104755 105000  65   1
TPCNote 105000 105210  79   3
TPCNote 105210 105455  77   1
TPCNote 105385 106575  46   0
TPCNote 105455 105665  76   6
TPCNote 105665 105910  77   1
TPCNote 105910 106120  70   0
TPCNote 106120 106365  69   5
TPCNote 106365 106575  74   4
TPCNote 106575 106820  72   2
TPCNote 106575 107765  46   0
TPCNote 106820 107030  70   0
TPCNote 107030 107275  72   2
TPCNote 107275 107485  69   5
TPCNote 107485 107730  65   1
TPCNote 107730 107940  70   0
TPCNote 107730 108955  45   5
TPCNote 107940 108185  70   0
TPCNote 107940 108185  62   4
TPCNote 108185 108395  68  -2
TPCNote 108185 108395  63  -1
TPCNote 108395 108640  68  -2
TPCNote 108395 109305  65   1
TPCNote 108640 108850  67   3
TPCNote 108850 109095  67   3
TPCNote 108990 110180  46   0
TPCNote 109095 109305  72   2
TPCNote 109305 109550  72   2
TPCNote 109305 109550  63  -1
TPCNote 109550 109760  70   0
TPCNote 109550 109760  65   1
TPCNote 109760 110005  70   0
TPCNote 109760 110460  67   3
TPCNote 110005 110215  69   5
TPCNote 110180 111370  48   2
TPCNote 110180 110215  69   5
TPCNote 110460 110670  70   0
TPCNote 110460 110670  65   1
TPCNote 110670 110915  63  -1
TPCNote 110670 112035  72   2
TPCNote 110915 111125  62   4
TPCNote 111125 111370  63  -1
TPCNote 111370 112560  41   1
TPCNote 111370 111580  60   2
TPCNote 111580 111825  62   4
TPCNote 111825 112035  67   3
TPCNote 112035 112280  70   0
TPCNote 112035 112280  67   3
TPCNote 112280 112490  72   2
TPCNote 112280 112490  65   1
TPCNote 112490 112735  65   1
TPCNote 112490 113400  74   4
TPCNote 112735 112945  64  -6
TPCNote 112945 113190  64   6
TPCNote 113190 113400  69   5
TPCNote 113400 113645  72   2
TPCNote 113400 113645  69   5
TPCNote 113645 113855  74   4
TPCNote 113645 113855  67   3
TPCNote 113855 114100  67   3
TPCNote 113855 114555  75  -1
TPCNote 114100 114310  66   8
TPCNote 114310 114555  66   8
TPCNote 114555 114765  74   4
TPCNote 114555 114765  67   3
TPCNote 114765 115010  72   2
TPCNote 114765 115010  69   5
TPCNote 115010 115220  70   0
TPCNote 115010 115220  67   3
TPCNote 115220 115465  72   2
TPCNote 115220 115465  69   5
TPCNote 115465 115675  69   5
TPCNote 115465 115675  66   8
TPCNote 115675 115920  70   0
TPCNote 115675 116130  67   3
TPCNote 115920 116130  72   2
TPCNote 116130 116375  70   0
TPCNote 116130 118580  45   5
TPCNote 116375 116585  69   5
TPCNote 116585 116830  70   0
TPCNote 116830 117040  67   3
TPCNote 117040 118650  75  -1
TPCNote 117285 117495  70   0
TPCNote 117495 117740  69   5
TPCNote 117740 117950  67   3
TPCNote 117950 118195  67   3
TPCNote 118195 118405  65   1
TPCNote 118405 118650  65   1
TPCNote 118405 118650  69   5
TPCNote 118405 118650  72   2
TPCNote 118580 119175  53   1
TPCNote 118580 122185  46   0
TPCNote 118650 118860  70   0
TPCNote 118860 119105  69   5
TPCNote 119105 119315  67   3
TPCNote 119175 119770  58   0
TPCNote 119315 119560  69   5
TPCNote 119560 119770  65   1
TPCNote 119770 120365  58   0
TPCNote 119770 120680  74   4
TPCNote 120015 120225  69   5
TPCNote 120225 120470  70   0
TPCNote 120365 120960  57   5
TPCNote 120470 120680  72   2
TPCNote 120680 120925  74   4
TPCNote 120925 121135  77   1
TPCNote 120925 120960  57   5
TPCNote 121135 121345  82   0
TPCNote 121380 121590  73  -3
TPCNote 121590 121800  73  -3
TPCNote 121590 122185  55   3
TPCNote 121835 122045  72   2
TPCNote 122045 122255  72   2
TPCNote 122185 122780  55   3
TPCNote 122185 125755  48   2
TPCNote 122255 122500  70   0
TPCNote 122500 123865  69   5
TPCNote 122710 122955  79   3
TPCNote 122780 123375  60   2
TPCNote 122955 123165  77   1
TPCNote 123165 123410  75  -1
TPCNote 123375 123970  60   2
TPCNote 123375 123620  77   1
TPCNote 123620 123865  74   4
TPCNote 123970 124565  58   0
TPCNote 124565 125160  58   0
TPCNote 125160 125755  57   5
TPCNote 125790 126385  41   1
TPCNote 125790 126980  57   5
TPCNote 126385 126980  53   1
TPCNote 126980 127575  53   1
TPCNote 126980 128170  58   0
TPCNote 127575 128170  51  -1
TPCNote 127750 130235  70   0
TPCNote 128170 128765  51  -1
TPCNote 128170 129955  60   2
TPCNote 128765 129360  50   4
TPCNote 129360 130585  50   4
TPCNote 129990 130585  58   0
TPCNote 129990 132580  74   4
